Filename,Depth,Activations-Params,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:3171_output:204_depth:3_arch:pyramid_batch:728.out,4,"[(1585, 5027620), (792, 1256112), (396, 314028), (204, 80988)]",2977,6678748,728,1615,36.41558441558441,0.30627272727272725,0.27324999999999994,0.0694705882352941,0.1879117647058823
input:1698_output:159_depth:2_arch:bottleneck_batch:478.out,4,"[(849, 1442451), (424, 360400), (212, 90100), (159, 33867)]",1644,1926818,478,1497,30.94871794871795,0.2655641025641025,0.149530303030303,0.023454545454545436,0.09685074626865675
input:3112_output:8_depth:10_arch:gradual_batch:696.out,11,"[(2802, 8722626), (2492, 6985076), (2182, 5439726), (1872, 4086576), (1562, 2925626), (1252, 1956876), (942, 1180326), (632, 595976), (322, 203826), (12, 3876), (8, 104)]",14078,32100614,696,2133,58.98717948717949,0.562883116883117,0.5329558823529412,0.16508823529411767,0.38825000000000015
input:3288_output:43_depth:10_arch:uniform_batch:638.out,11,"[(3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (3288, 10814232), (43, 141427)]",32923,108283747,638,3695,82.37662337662337,0.801987012987013,0.7770289855072463,0.3354927536231883,0.5655428571428572
input:195_output:6_depth:1_arch:gradual_batch:847.out,2,"[(6, 1176), (6, 42)]",12,1218,847,1453,7.0256410256410255,0.05805128205128209,0.0028571428571428593,0,0.0010000000000000007
input:1514_output:322_depth:10_arch:bottleneck_batch:656.out,12,"[(757, 1146855), (378, 286524), (322, 122038), (322, 104006), (322, 104006), (322, 104006), (322, 104006), (322, 104006), (322, 104006), (322, 104006), (322, 104006), (322, 104006)]",4355,2491471,656,1521,35.41025641025641,0.3243205128205129,0.18895588235294114,0.03466176470588234,0.10513235294117651
input:324_output:43_depth:7_arch:bottleneck_batch:62.out,9,"[(162, 52650), (81, 13203), (43, 3526), (43, 1892), (43, 1892), (43, 1892), (43, 1892), (43, 1892), (43, 1892)]",544,80731,62,1453,35.278481012658226,0.3493717948717946,0.015742424242424256,0.0020000000000000013,0.0020000000000000013
input:3913_output:476_depth:9_arch:bottleneck_batch:815.out,11,"[(1956, 7655784), (978, 1913946), (489, 478731), (476, 233240), (476, 227052), (476, 227052), (476, 227052), (476, 227052), (476, 227052), (476, 227052), (476, 227052)]",7231,11871065,815,1735,37.688311688311686,0.32379220779220785,0.27763013698630146,0.0839166666666667,0.1912054794520548
input:3295_output:502_depth:10_arch:bottleneck_batch:638.out,12,"[(1647, 5428512), (823, 1356304), (502, 413648), (502, 252506), (502, 252506), (502, 252506), (502, 252506), (502, 252506), (502, 252506), (502, 252506), (502, 252506), (502, 252506)]",7490,9471018,638,1665,36.833333333333336,0.3152564102564103,0.2615342465753425,0.06731506849315069,0.16406944444444443
input:1700_output:174_depth:5_arch:bottleneck_batch:702.out,7,"[(850, 1445850), (425, 361675), (212, 90312), (174, 37062), (174, 30450), (174, 30450), (174, 30450)]",2183,2026249,702,1519,29.153846153846153,0.2537922077922077,0.15184848484848484,0.029606060606060604,0.09875757575757578
