Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Batch Normalization Layers,Dropout Layers,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:1764_output:44_depth:10_arch:uniform_batch:31_act:selu_dropout:0.23210344429894436_dropout:False_batchnorm:True.out,11,"[(1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (1764, 3113460), (1764, 3528), (1764, 0), (44, 77660), (44, 0)]",SELU,53008,31247540,31,10,0,2059,58.82539682539682,0.5751269841269839,0.45915254237288133,0.19640677966101694,0.07191379310344831
input:3970_output:715_depth:4_arch:bottleneck_batch:427_act:identity_dropout:0.19193659343056654_dropout:True_batchnorm:True.out,6,"[(1985, 7882435), (1985, 3970), (1985, 0), (1985, 0), (992, 1970112), (992, 1984), (992, 0), (992, 0), (715, 709995), (715, 1430), (715, 0), (715, 0), (715, 511940), (715, 1430), (715, 0), (715, 0), (715, 511940), (715, 1430), (715, 0), (715, 0), (715, 511940), (715, 0)]",Identity,21918,12108606,427,5,5,1723,42.77777777777778,0.3840967741935483,0.3170535714285715,0.09705454545454549,0.1826666666666666
input:1206_output:218_depth:4_arch:bottleneck_batch:957_act:selu_dropout:0.2720683977148335_dropout:False_batchnorm:False.out,6,"[(603, 727821), (603, 0), (301, 181804), (301, 0), (218, 65836), (218, 0), (218, 47742), (218, 0), (218, 47742), (218, 0), (218, 47742), (218, 0)]",SELU,3552,1118687,957,0,0,1505,22.73015873015873,0.18853225806451615,0.10934615384615384,0.01848076923076924,0.06567924528301886
input:453_output:97_depth:2_arch:uniform_batch:1014_act:swish_dropout:0.1642488686726416_dropout:True_batchnorm:True.out,3,"[(453, 205662), (453, 906), (453, 0), (453, 0), (453, 205662), (453, 906), (453, 0), (453, 0), (97, 44038), (97, 0)]",SiLU,3818,457174,1014,2,2,1481,18.080645161290324,0.16227419354838712,0.06569811320754715,0.01716981132075473,0.03673584905660376
input:2586_output:271_depth:4_arch:pyramid_batch:119_act:selu_dropout:0.3497353505619549_dropout:False_batchnorm:False.out,5,"[(1293, 3344991), (1293, 0), (646, 835924), (646, 0), (323, 208981), (323, 0), (271, 87804), (271, 0), (271, 73712), (271, 0)]",SELU,5608,4551412,119,0,0,1541,38.87096774193548,0.35193548387096757,0.20494444444444457,0.03922222222222219,0.07537037037037043
input:2500_output:48_depth:4_arch:uniform_batch:184_act:softplus_dropout:0.4353471524554856_dropout:False_batchnorm:True.out,5,"[(2500, 6252500), (2500, 5000), (2500, 0), (2500, 6252500), (2500, 5000), (2500, 0), (2500, 6252500), (2500, 5000), (2500, 0), (2500, 6252500), (2500, 5000), (2500, 0), (48, 120048), (48, 0)]",Softplus,30096,25150048,184,4,0,1979,66.61290322580645,0.6369677419354838,0.5465636363636363,0.25156363636363643,0.2565454545454544
input:3740_output:558_depth:5_arch:bottleneck_batch:434_act:tanh_dropout:0.43596620003537867_dropout:True_batchnorm:True.out,7,"[(1870, 6995670), (1870, 3740), (1870, 0), (1870, 0), (935, 1749385), (935, 1870), (935, 0), (935, 0), (558, 522288), (558, 1116), (558, 0), (558, 0), (558, 311922), (558, 1116), (558, 0), (558, 0), (558, 311922), (558, 1116), (558, 0), (558, 0), (558, 311922), (558, 1116), (558, 0), (558, 0), (558, 311922), (558, 0)]",Tanh,21264,10525105,434,6,6,1689,38.142857142857146,0.33449206349206345,0.2763620689655173,0.0817241379310345,0.15165517241379306
input:33_output:1_depth:7_arch:pyramid_batch:172_act:identity_dropout:0.271796159618372_dropout:False_batchnorm:False.out,8,"[(16, 544), (16, 0), (8, 136), (8, 0), (4, 36), (4, 0), (2, 10), (2, 0), (1, 3), (1, 0), (1, 2), (1, 0), (1, 2), (1, 0), (1, 2), (1, 0)]",Identity,68,735,172,0,0,1451,22.6984126984127,0.21762903225806446,0.0038867924528301918,0.0010000000000000007,0
input:528_output:47_depth:5_arch:pyramid_batch:840_act:identity_dropout:0.16417921916478118_dropout:True_batchnorm:False.out,6,"[(264, 139656), (264, 0), (264, 0), (132, 34980), (132, 0), (132, 0), (66, 8778), (66, 0), (66, 0), (47, 3149), (47, 0), (47, 0), (47, 2256), (47, 0), (47, 0), (47, 2256), (47, 0)]",Identity,1762,191075,840,0,5,1457,15.516129032258064,0.13183870967741934,0.041173076923076916,0.005500000000000003,0.015226415094339633
input:2611_output:514_depth:8_arch:uniform_batch:68_act:identity_dropout:0.4639782975365314_dropout:True_batchnorm:True.out,9,"[(2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (2611, 6819932), (2611, 5222), (2611, 0), (2611, 0), (514, 1342568), (514, 0)]",Identity,84580,55943800,68,8,8,2629,81.734375,0.8146349206349203,0.7348392857142853,0.32662500000000005,0.2234821428571429
